,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA, NY",136636.0,8726.0,10145.0,9865.0,9865.0,10125.0,8980.0,8351.0,10994.0,8828.0,8562.0,8357.0,9019.0,8203.0,5413.0,5651.0,2504.0,2183.0,865.0
79500US3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA, NY",182874.0,13394.0,11305.0,13164.0,10317.0,13549.0,18090.0,13902.0,10431.0,10067.0,10941.0,12941.0,11527.0,9255.0,7998.0,5693.0,4337.0,3343.0,2620.0
79500US3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA, NY",164003.0,12099.0,14820.0,10956.0,12647.0,12713.0,16530.0,14519.0,10843.0,8895.0,10873.0,10294.0,8205.0,5812.0,3463.0,4281.0,3725.0,1346.0,1982.0
79500US3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA, NY",214040.0,11073.0,9731.0,9674.0,10421.0,13913.0,24676.0,21632.0,16231.0,12750.0,12449.0,14256.0,13726.0,10345.0,10670.0,8606.0,6555.0,3626.0,3706.0
79500US3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA, NY",145440.0,6641.0,6519.0,6004.0,10405.0,16580.0,19214.0,11859.0,9414.0,8522.0,8392.0,9718.0,5764.0,7573.0,6575.0,3774.0,3140.0,3188.0,2158.0
79500US3603803,"NYC-Manhattan Community District 10--Central Harlem PUMA, NY",146309.0,10090.0,7982.0,8207.0,6533.0,9343.0,17018.0,13822.0,13909.0,9819.0,8665.0,8697.0,8686.0,7371.0,5569.0,3868.0,2791.0,1646.0,2293.0
79500US3603804,"NYC-Manhattan Community District 11--East Harlem PUMA, NY",110800.0,5697.0,3697.0,5095.0,5671.0,6720.0,12190.0,9345.0,9832.0,7749.0,7178.0,8051.0,7286.0,7911.0,4522.0,2774.0,2821.0,1737.0,2524.0
79500US3603805,"NYC-Manhattan Community District 8--Upper East Side PUMA, NY",204469.0,10779.0,6532.0,6646.0,4950.0,8571.0,20015.0,26611.0,14721.0,13121.0,11709.0,11350.0,10454.0,15074.0,12604.0,9315.0,9226.0,5329.0,7462.0
79500US3603806,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, NY",191222.0,11983.0,7552.0,7372.0,6143.0,7105.0,14496.0,18807.0,16848.0,12803.0,10602.0,13244.0,10928.0,11195.0,12424.0,10774.0,7372.0,4389.0,7185.0
79500US3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA, NY",165452.0,3719.0,4456.0,5934.0,6545.0,9662.0,19326.0,18994.0,14233.0,13549.0,16274.0,10338.0,11883.0,7240.0,6486.0,5621.0,4841.0,3129.0,3222.0
79500US3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA, NY",143582.0,5399.0,3108.0,3399.0,4382.0,12805.0,19133.0,18741.0,12406.0,8209.0,8346.0,5510.0,7055.0,7240.0,8259.0,8586.0,4949.0,2802.0,3253.0
79500US3603809,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, NY",155408.0,4475.0,4584.0,5912.0,6463.0,14549.0,23626.0,16730.0,8650.0,8262.0,6590.0,7669.0,9390.0,10501.0,7483.0,6666.0,4401.0,5380.0,4077.0
79500US3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA, NY",151979.0,6914.0,4852.0,5418.0,6547.0,12111.0,19153.0,18756.0,11281.0,10773.0,11060.0,8999.0,8052.0,7007.0,6344.0,5430.0,3453.0,2100.0,3729.0
79500US3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA, NY",163600.0,8268.0,8395.0,9933.0,10515.0,9825.0,10017.0,9283.0,9963.0,9612.0,11471.0,11110.0,11944.0,13682.0,9511.0,8276.0,5767.0,3314.0,2714.0
