,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US53033004400,"Census Tract 44, King, WA",2757.0,790.0,491.0,34.0,194.0,43.0,28.0,0.0,1967.0,986.0,478.0,235.0,57.0,34.0,10.0,167.0,0,986.0,969.0,269.0,251.0,77.0,38.0,167.0
14000US53033004500,"Census Tract 45, King, WA",1027.0,512.0,129.0,173.0,159.0,31.0,20.0,0.0,515.0,198.0,116.0,71.0,0.0,50.0,30.0,50.0,0,198.0,245.0,244.0,159.0,81.0,50.0,50.0
14000US53033004600,"Census Tract 46, King, WA",1420.0,892.0,434.0,144.0,227.0,76.0,0.0,11.0,528.0,326.0,135.0,9.0,37.0,21.0,0.0,0.0,0,326.0,569.0,153.0,264.0,97.0,0.0,11.0
14000US53033004700,"Census Tract 47, King, WA",5721.0,1460.0,1055.0,228.0,177.0,0.0,0.0,0.0,4261.0,2966.0,1175.0,85.0,35.0,0.0,0.0,0.0,0,2966.0,2230.0,313.0,212.0,0.0,0.0,0.0
14000US53033004800,"Census Tract 48, King, WA",2212.0,1155.0,536.0,295.0,260.0,64.0,0.0,0.0,1057.0,507.0,449.0,52.0,49.0,0.0,0.0,0.0,0,507.0,985.0,347.0,309.0,64.0,0.0,0.0
14000US53033004900,"Census Tract 49, King, WA",3654.0,930.0,567.0,142.0,181.0,30.0,0.0,10.0,2724.0,1605.0,860.0,145.0,99.0,15.0,0.0,0.0,0,1605.0,1427.0,287.0,280.0,45.0,0.0,10.0
14000US53033005000,"Census Tract 50, King, WA",1994.0,779.0,389.0,292.0,71.0,27.0,0.0,0.0,1215.0,684.0,407.0,124.0,0.0,0.0,0.0,0.0,0,684.0,796.0,416.0,71.0,27.0,0.0,0.0
14000US53033005100,"Census Tract 51, King, WA",1711.0,904.0,432.0,246.0,153.0,54.0,19.0,0.0,807.0,586.0,184.0,37.0,0.0,0.0,0.0,0.0,0,586.0,616.0,283.0,153.0,54.0,19.0,0.0
14000US53033005200,"Census Tract 52, King, WA",3075.0,704.0,365.0,168.0,125.0,46.0,0.0,0.0,2371.0,1273.0,569.0,298.0,98.0,105.0,28.0,0.0,0,1273.0,934.0,466.0,223.0,151.0,28.0,0.0
14000US53033005301,"Census Tract 53.01, King, WA",3085.0,235.0,198.0,13.0,10.0,14.0,0.0,0.0,2850.0,1683.0,873.0,148.0,66.0,14.0,0.0,66.0,0,1683.0,1071.0,161.0,76.0,28.0,0.0,66.0
14000US53033005302,"Census Tract 53.02, King, WA",117.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,113.0,91.0,13.0,9.0,0.0,0.0,0.0,0.0,0,91.0,17.0,9.0,0.0,0.0,0.0,0.0
14000US53033005400,"Census Tract 54, King, WA",3291.0,947.0,494.0,264.0,168.0,21.0,0.0,0.0,2344.0,1533.0,666.0,91.0,54.0,0.0,0.0,0.0,0,1533.0,1160.0,355.0,222.0,21.0,0.0,0.0
14000US53033005600,"Census Tract 56, King, WA",2763.0,2109.0,980.0,505.0,506.0,99.0,0.0,19.0,654.0,573.0,81.0,0.0,0.0,0.0,0.0,0.0,0,573.0,1061.0,505.0,506.0,99.0,0.0,19.0
14000US53033005700,"Census Tract 57, King, WA",2856.0,1904.0,906.0,520.0,337.0,51.0,68.0,22.0,952.0,715.0,210.0,16.0,11.0,0.0,0.0,0.0,0,715.0,1116.0,536.0,348.0,51.0,68.0,22.0
14000US53033005801,"Census Tract 58.01, King, WA",2747.0,1032.0,590.0,244.0,121.0,44.0,33.0,0.0,1715.0,1164.0,475.0,48.0,12.0,0.0,16.0,0.0,0,1164.0,1065.0,292.0,133.0,44.0,49.0,0.0
14000US53033005802,"Census Tract 58.02, King, WA",3037.0,1063.0,549.0,208.0,187.0,90.0,29.0,0.0,1974.0,1534.0,407.0,18.0,15.0,0.0,0.0,0.0,0,1534.0,956.0,226.0,202.0,90.0,29.0,0.0
14000US53033005900,"Census Tract 59, King, WA",2773.0,1493.0,762.0,313.0,273.0,145.0,0.0,0.0,1280.0,597.0,525.0,95.0,16.0,0.0,33.0,14.0,0,597.0,1287.0,408.0,289.0,145.0,33.0,14.0
