,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41007950600,"Census Tract 9506, Clatsop, OR",1120.0,183.0,522.0,110.0,128.0,34.0,76.0,67.0
14000US41007950700,"Census Tract 9507, Clatsop, OR",883.0,242.0,397.0,120.0,84.0,15.0,18.0,7.0
14000US41007950900,"Census Tract 9509, Clatsop, OR",1987.0,761.0,726.0,243.0,179.0,51.0,0.0,27.0
14000US41007951100,"Census Tract 9511, Clatsop, OR",1869.0,626.0,620.0,319.0,163.0,92.0,49.0,0.0
14000US41007951200,"Census Tract 9512, Clatsop, OR",1229.0,286.0,568.0,120.0,133.0,61.0,37.0,24.0
14000US41007951300,"Census Tract 9513, Clatsop, OR",1002.0,219.0,523.0,130.0,69.0,28.0,18.0,15.0
14000US41007990000,"Census Tract 9900, Clatsop, OR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US41009970200,"Census Tract 9702, Columbia, OR",2503.0,845.0,847.0,232.0,310.0,139.0,75.0,55.0
14000US41009970300,"Census Tract 9703, Columbia, OR",1733.0,472.0,637.0,210.0,198.0,106.0,39.0,71.0
14000US41009970400,"Census Tract 9704, Columbia, OR",968.0,135.0,528.0,97.0,119.0,26.0,52.0,11.0
14000US41009970500,"Census Tract 9705, Columbia, OR",2522.0,477.0,1156.0,449.0,294.0,50.0,10.0,86.0
14000US41009970600,"Census Tract 9706, Columbia, OR",2036.0,449.0,759.0,262.0,329.0,140.0,97.0,0.0
14000US41009970700,"Census Tract 9707, Columbia, OR",1597.0,451.0,544.0,282.0,215.0,61.0,39.0,5.0
14000US41009970800,"Census Tract 9708, Columbia, OR",2782.0,868.0,811.0,433.0,423.0,208.0,39.0,0.0
14000US41009970900,"Census Tract 9709, Columbia, OR",2039.0,683.0,679.0,305.0,281.0,63.0,18.0,10.0
14000US41009971000,"Census Tract 9710, Columbia, OR",1821.0,409.0,642.0,364.0,272.0,92.0,42.0,0.0
14000US41009971100,"Census Tract 9711, Columbia, OR",1295.0,341.0,489.0,230.0,97.0,87.0,27.0,24.0
14000US41011000100,"Census Tract 1, Coos, OR",2444.0,682.0,1140.0,326.0,190.0,78.0,0.0,28.0
14000US41011000200,"Census Tract 2, Coos, OR",1093.0,288.0,501.0,98.0,115.0,36.0,33.0,22.0
14000US41011000300,"Census Tract 3, Coos, OR",1304.0,498.0,442.0,107.0,169.0,24.0,42.0,22.0
14000US41011000400,"Census Tract 4, Coos, OR",2533.0,581.0,1069.0,390.0,262.0,134.0,34.0,63.0
14000US41011000502,"Census Tract 5.02, Coos, OR",1298.0,369.0,633.0,125.0,139.0,9.0,17.0,6.0
14000US41011000503,"Census Tract 5.03, Coos, OR",1003.0,230.0,309.0,189.0,183.0,61.0,31.0,0.0
14000US41011000504,"Census Tract 5.04, Coos, OR",2566.0,1071.0,833.0,240.0,243.0,74.0,63.0,42.0
14000US41011000600,"Census Tract 6, Coos, OR",1112.0,361.0,448.0,98.0,119.0,55.0,17.0,14.0
14000US41011000700,"Census Tract 7, Coos, OR",3190.0,1257.0,913.0,436.0,366.0,114.0,15.0,89.0
14000US41011000800,"Census Tract 8, Coos, OR",1304.0,345.0,532.0,121.0,128.0,92.0,16.0,70.0
14000US41011000900,"Census Tract 9, Coos, OR",2939.0,835.0,1212.0,385.0,342.0,136.0,0.0,29.0
14000US41011001000,"Census Tract 10, Coos, OR",3305.0,1126.0,1393.0,422.0,225.0,35.0,0.0,104.0
14000US41011001100,"Census Tract 11, Coos, OR",2549.0,845.0,1045.0,296.0,221.0,78.0,29.0,35.0
14000US41011990101,"Census Tract 9901.01, Coos, OR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US41013950100,"Census Tract 9501, Crook, OR",3097.0,976.0,1152.0,357.0,413.0,66.0,133.0,0.0
14000US41013950200,"Census Tract 9502, Crook, OR",1803.0,506.0,716.0,265.0,168.0,106.0,34.0,8.0
