,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US3604002,"NYC-Brooklyn Community District 4--Bushwick PUMA, NY",46864.0,12864.0,13874.0,10502.0,5503.0,2623.0,918.0,580.0
79500US3604003,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, NY",56505.0,17413.0,17295.0,7990.0,6766.0,2956.0,1643.0,2442.0
79500US3604004,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, NY",63983.0,22382.0,24220.0,7291.0,7163.0,1831.0,407.0,689.0
79500US3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA, NY",49345.0,14607.0,16588.0,9228.0,6580.0,1652.0,455.0,235.0
79500US3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, NY",56406.0,18912.0,19008.0,8608.0,5034.0,3220.0,670.0,954.0
79500US3604007,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, NY",49397.0,20915.0,12013.0,7813.0,4277.0,2496.0,1082.0,801.0
79500US3604008,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, NY",60413.0,19302.0,12305.0,12037.0,7777.0,4663.0,1709.0,2620.0
79500US3604009,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, NY",67944.0,15960.0,18976.0,13844.0,9707.0,4988.0,2392.0,2077.0
79500US3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA, NY",51301.0,14371.0,14424.0,10251.0,7762.0,2231.0,1547.0,715.0
79500US3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA, NY",44659.0,14915.0,13665.0,5940.0,6084.0,2364.0,1384.0,307.0
79500US3604012,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, NY",42256.0,9152.0,10120.0,7688.0,7287.0,3585.0,2272.0,2152.0
79500US3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, NY",48141.0,15456.0,13454.0,6717.0,6503.0,3285.0,1018.0,1708.0
79500US3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA, NY",40270.0,9614.0,9612.0,5700.0,4904.0,3410.0,2587.0,4443.0
79500US3604015,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, NY",56630.0,15295.0,15749.0,11359.0,7057.0,3511.0,1944.0,1715.0
