"GEO_ID","id",
"S1401_C03_034E","Estimate!!In public school!!Females 18 to 24 years!!Enrolled in college or graduate school",
"S1401_C03_034M","Margin of Error!!In public school MOE!!Females 18 to 24 years!!Enrolled in college or graduate school",
"S1401_C04_001E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school",
"S1401_C04_001M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school",
"S1401_C04_002E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Nursery school, preschool",
"S1401_C04_002M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!Nursery school, preschool",
"S1401_C04_003E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",
"S1401_C04_003M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",
"S1401_C04_004E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten",
"S1401_C04_004M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!Kindergarten",
"S1401_C04_005E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Elementary grade 1 to grade 4",
"S1401_C04_005M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!Elementary grade 1 to grade 4",
"S1401_C04_006E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Elementary grade 5 to grade 8",
"S1401_C04_006M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!Elementary grade 5 to grade 8",
"S1401_C04_007E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!High school grade 9 to grade 12",
"S1401_C04_007M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!High school grade 9 to grade 12",
"S1401_C04_008E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!College, undergraduate",
"S1401_C04_008M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!College, undergraduate",
"S1401_C04_009E","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Graduate, professional school",
"S1401_C04_009M","Margin of Error!!Percent in public school MOE!!Population 3 years and over enrolled in school!!Graduate, professional school",
"S1401_C04_010E","Estimate!!Percent in public school!!Population enrolled in college or graduate school",
"S1401_C04_010M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school",
"S1401_C04_011E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",
"S1401_C04_011M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",
"S1401_C04_012E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",
"S1401_C04_012M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",
"S1401_C04_013E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 3 to 4 years",
"S1401_C04_013M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 3 to 4 years",
"S1401_C04_014E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",
"S1401_C04_014M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",
"S1401_C04_015E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 5 to 9 years",
"S1401_C04_015M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 5 to 9 years",
"S1401_C04_016E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",
"S1401_C04_016M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",
"S1401_C04_017E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 10 to 14 years",
"S1401_C04_017M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 10 to 14 years",
"S1401_C04_018E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",
"S1401_C04_018M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",
"S1401_C04_019E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 15 to 17",
"S1401_C04_019M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 15 to 17",
"S1401_C04_020E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 15 to 17!!15 to 17 year olds enrolled in school",
"S1401_C04_020M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 15 to 17!!15 to 17 year olds enrolled in school",
"S1401_C04_021E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 18 to 19 years",
"S1401_C04_021M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 18 to 19 years",
"S1401_C04_022E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",
"S1401_C04_022M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",
"S1401_C04_023E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 20 to 24 years",
"S1401_C04_023M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 20 to 24 years",
"S1401_C04_024E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",
"S1401_C04_024M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",
"S1401_C04_025E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 25 to 34 years",
"S1401_C04_025M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 25 to 34 years",
"S1401_C04_026E","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",
"S1401_C04_026M","Margin of Error!!Percent in public school MOE!!Population enrolled in college or graduate school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",
